Inventory ID,Inventory ID,Description,Item Status,Stock Item,Vendor MOQ,Stock Status,Item Class,Item Class Description,Range,Type,Is a Kit,Valuation Method,Tax Category,Posting Class,Default Warehouse,Default Issue From,Default Receipt To,HS Code,Commodity Code,Base Unit,Sales Unit,Purchase Unit,M/F Code,NQ Type,Product Function,Product Function Description,Country of Origin,Client ID,Client Name,Launch Date,Price Class,Duty,Shipping,Packaging,Vendor Lead Time (Days),Prod. Lead Time (Days),Weight UOM,Volume UOM,Weight per Item Assembled,Weight per Master Carton,Weight per Inner Carton,Volume per Item Assembled,Volume per Master Carton,Volume per Inner Carton,Length per Item Assembled,Length per Master Carton,Length per Inner Carton,Width per Item Assembled,Width per Master Carton,Width per Inner Carton,Height per Item Assembled,Height per Master Carton,Height per Inner Carton,Weight (lb) per Item Assembled,Weight (lb) per Master Carton,Weight (lb) per Inner Carton,Volume (CFT) per Item,Volume (CFT) per Carton,Volume (CFT) per Shipper,Volume (CFT) per Pallet,Length (in) per Item,Length (in) per Carton,Length (in) per Shipper,Width (in) per Item,Width (in) per Carton,Width (in) per Shipper,Height (in) per Item,Height (in) per Carton,Height (in) per Shipper,Qty of Items per Master Carton,Qty of Items per Inner Carton,Qty of Master Cartons per Pallet,WH Carton Dims Received,Inventory Account,WH Item Dims Received,Master Packaging Weight (g),Inner Packaging Weight (g),Barcode,Season
"12,388",AA_ATTESTED_PL_FEE,Attested Packing list,Active,False,,,V-**-**-***,Delivery Charges,,Charge,False,Standard,STANDARD S,DEFAULT,UK,,,0,0,EA,EA,EA,,,,,,,,,,0.00,0.00,0.00,,,,,0.000000,0.00,0.00,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,False,2110,False,,,,
"9,029",AA_CANCEL,Cancellation Cost (15% of the value of items),Active,False,,,V-**-**-***,Delivery Charges,,Charge,False,Standard,STANDARD S,DEFAULT,UK,,,0,0,EA,EA,EA,,,,,,,,,,0.00,0.00,0.00,,,,,0.000000,0.00,0.00,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,False,2110,False,,,,
"8,975",AA_COLLCH,Client,Active,False,,,V-**-**-***,Delivery Charges,,Charge,False,Standard,STANDARD S,DEFAULT,UK,,,0,0,EA,EA,EA,,,,,,,,,,0.00,0.00,0.00,,,,,0.000000,0.00,0.00,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,False,2110,False,,,,
"12,385",AA_COO,Certificate of Origin,Active,False,,,V-**-**-***,Delivery Charges,,Charge,False,Standard,STANDARD S,DEFAULT,UK,,,0,0,EA,EA,EA,,,,,,,,,,0.00,0.00,0.00,,,,,0.000000,0.00,0.00,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,False,2110,False,,,,
"9,024",AA_DC_EXPFORM_CH,Export Formality,Active,False,,,V-**-**-***,Delivery Charges,,Charge,False,Standard,STANDARD S,DEFAULT,UK,,,0,0,EA,EA,EA,,,,,,,,,,0.00,0.00,0.00,,,,,0.000000,0.00,0.00,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,False,2110,False,,,,
"12,383",AA_DC_SABER_LABELS_FEE,SABER - Labeling costs - per pallet,Active,False,,,V-**-**-***,Delivery Charges,,Charge,False,Standard,STANDARD S,DEFAULT,UK,,,0,0,EA,EA,EA,,,,,,,,,,0.00,0.00,0.00,,,,,0.000000,0.00,0.00,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,False,2110,False,,,,
"12,382",AA_DC_SABER_SH_CERT_FEE,SABER - Shipment certificate fee - per shipment,Active,False,,,V-**-**-***,Delivery Charges,,Charge,False,Standard,STANDARD S,DEFAULT,UK,,,0,0,EA,EA,EA,,,,,,,,,,0.00,0.00,0.00,,,,,0.000000,0.00,0.00,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,False,2110,False,,,,
"12,384",AA_DC_SH_REWORK_FEE,"Shipment Rework (Includes repacking, taking pictures of items or combining shipments)",Active,False,,,V-**-**-***,Delivery Charges,,Charge,False,Standard,STANDARD S,DEFAULT,UK,,,0,0,EA,EA,EA,,,,,,,,,,0.00,0.00,0.00,,,,,0.000000,0.00,0.00,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,False,2110,False,,,,
"10,905",AA_DC_SHIPEX_DUTY,Export Duty & Tax,Active,False,,,V-**-**-***,Delivery Charges,,Charge,False,Standard,STANDARD S,DEFAULT,UK,,,,,EA,EA,EA,,,,,,,,,,0.00,0.00,0.00,,,,,0.000000,0.00,0.00,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,False,1000,False,,,,
"8,965",AA_DC_SHIPEX_EU,"Direct Shipping (Estimated Shipping Costs, from EU Warehouse to final destination - TBC at time of order)",Active,False,0.00,,V-**-**-***,Delivery Charges,,Charge,False,Standard,STANDARD S,DEFAULT,DACHSER,,,0,0,EA,EA,EA,,,,,,,,,,0.00,0.00,0.00,8,0,,,0.000000,0.00,0.00,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,False,2110,False,,,,
"9,050",AA_DC_SHIPEX_NC,Direct Shipping,Active,False,,,V-**-**-***,Delivery Charges,,Charge,False,Standard,STANDARD S,DEFAULT,UK,,,0,0,EA,EA,EA,,,,,,,,,,0.00,0.00,0.00,,,,,0.000000,0.00,0.00,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,False,2110,False,,,,
"13,553",AA_DC_SHIPEX_US,Freight cost from US Warehouse to final destination - TBC at time of order,Active,False,,,V-**-**-***,Delivery Charges,,Charge,False,Standard,STANDARD S,DEFAULT,US,,,,,EA,EA,EA,,,,,,,,,,0.00,0.00,0.00,,,,,0.000000,0.00,0.00,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,False,1000,False,,,,
"8,967",AA_DC_SHIPIMP_CH,Direct Shipping (Date) - IMPORT,Active,False,,,V-**-**-***,Delivery Charges,,Charge,False,Standard,STANDARD S,DEFAULT,UK,,,0,0,EA,EA,EA,,,,,,,,,,0.00,0.00,0.00,,,,,0.000000,0.00,0.00,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,False,2110,False,,,,
"8,968",AA_DC_SHIPIMP_NC,Direct Shipping (Date) - IMPORT,Active,False,,,V-**-**-***,Delivery Charges,,Charge,False,Standard,STANDARD S,DEFAULT,UK,,,0,0,EA,EA,EA,,,,,,,,,,0.00,0.00,0.00,,,,,0.000000,0.00,0.00,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,False,2110,False,,,,
"11,361",AA_DC_STORAGE_FEE_CV1,Storage fee - per pallet per week from first Collection Advice sent date ( if boxes count as 1 pallet ),Active,False,,,,,,Non-Stock Item,False,Standard,ZERO S,DEFAULT,,,,,,PIECE,PIECE,PIECE,,,,,,,,,,0.00,0.00,0.00,,,,,0.000000,0.00,0.00,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,False,1000,False,,,,
"8,995",AA_DC_TRADESHOW,Trade Show Costs,Active,False,,,V-**-**-***,Delivery Charges,,Charge,False,Standard,STANDARD S,DEFAULT,UK,,,0,0,EA,EA,EA,,,,,,,,,,0.00,0.00,0.00,,,,,0.000000,0.00,0.00,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,False,2110,False,,,,
"8,969",AA_DCWH,Client Order Collection (Please note - if orders are not collected within the agreed timeframe discussed at time of packing the products Craster will charge £2.50/pallet/week based on the amount of time the order sits in our warehouse),Active,False,,,V-**-**-***,Delivery Charges,,Charge,False,Standard,STANDARD S,DEFAULT,UK,,,0,0,EA,EA,EA,,,,,,,,,,0.00,0.00,0.00,,,,,0.000000,0.00,0.00,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,False,2110,False,,,,
"12,389",AA_EUR1_FEE,EUR1,Active,False,,,V-**-**-***,Delivery Charges,,Charge,False,Standard,STANDARD S,DEFAULT,UK,,,0,0,EA,EA,EA,,,,,,,,,,0.00,0.00,0.00,,,,,0.000000,0.00,0.00,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,False,2110,False,,,,
"9,053",AA_HANDLING FEE NQ1092 EX-W,Handling Fee NQ1092 ex-w,Active,False,,,V-**-**-***,Delivery Charges,,Charge,False,Standard,STANDARD S,DEFAULT,UK,,,0,0,EA,EA,EA,,,,,,,,,,0.00,0.00,0.00,,,,,0.000000,0.00,0.00,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,False,2110,False,,,,
"9,047",AA_LINE TABLE LEG SURCHAGE_£10,Line Table Leg surcharge - £10,Active,False,,,V-**-**-***,Delivery Charges,,Charge,False,Standard,STANDARD S,DEFAULT,UK,,,0,0,EA,EA,EA,,,,,,,,,,0.00,0.00,0.00,,,,,0.000000,0.00,0.00,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,False,2110,False,,,,
"9,048",AA_LINE TABLE LEG SURCHARGE,Line Table Leg surcharge - £25,Active,False,,,V-**-**-***,Delivery Charges,,Charge,False,Standard,STANDARD S,DEFAULT,UK,,,0,0,EA,EA,EA,,,,,,,,,,0.00,0.00,0.00,,,,,0.000000,0.00,0.00,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,False,2110,False,,,,
"9,046",AA_LINE TABLE LEG SURCHARGE_£5,Line Table Leg surcharge - £5,Active,False,,,V-**-**-***,Delivery Charges,,Charge,False,Standard,STANDARD S,DEFAULT,UK,,,0,0,EA,EA,EA,,,,,,,,,,0.00,0.00,0.00,,,,,0.000000,0.00,0.00,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,False,2110,False,,,,
"8,974",AA_MARKET,Marketing Spend - General Spend,Active,False,,,V-**-**-***,Delivery Charges,,Charge,False,Standard,STANDARD S,DEFAULT,UK,,,0,0,EA,EA,EA,,,,,,,,,,0.00,0.00,0.00,,,,,0.000000,0.00,0.00,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,False,2110,False,,,,
"8,973",AA_NPD_DES_CH,Project Design Services - (Design 3rd Party),Active,False,,,V-**-**-***,Delivery Charges,,Charge,False,Standard,STANDARD S,DEFAULT,UK,,,0,0,EA,EA,EA,,,,,,,,,,0.00,0.00,0.00,,,,,0.000000,0.00,0.00,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,False,2110,False,,,,
"9,035",AA_NPD_DESIGN FEE,Design Fee - blended rate,Active,False,,,V-**-**-***,Delivery Charges,,Charge,False,Standard,STANDARD S,DEFAULT,UK,,,0,0,EA,EA,EA,,,,,,,,,,0.00,0.00,0.00,,,,,0.000000,0.00,0.00,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,False,2110,False,,,,
"9,017",AA_NPD_DUAL,NPD Dual Sourcing - NC,Active,False,,,V-**-**-***,Delivery Charges,,Charge,False,Standard,STANDARD S,DEFAULT,UK,,,0,0,EA,EA,EA,,,,,,,,,,0.00,0.00,0.00,,,,,0.000000,0.00,0.00,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,False,2110,False,,,,
"9,021",AA_NPD_FREELANCE,NPD Freelancer Costs NC,Active,False,,,V-**-**-***,Delivery Charges,,Charge,False,Standard,STANDARD S,DEFAULT,UK,,,0,0,EA,EA,EA,,,,,,,,,,0.00,0.00,0.00,,,,,0.000000,0.00,0.00,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,False,2110,False,,,,
"8,964",AA_NPD_INT_DES,Design Services (non-project) - (Internal Design),Active,False,,,V-**-**-***,Delivery Charges,,Charge,False,Standard,STANDARD S,DEFAULT,UK,,,0,0,EA,EA,EA,,,,,,,,,,0.00,0.00,0.00,,,,,0.000000,0.00,0.00,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,False,2110,False,,,,
"9,018",AA_NPD_LEGALS,NPD Legals Trademarks IP - NC,Active,False,,,V-**-**-***,Delivery Charges,,Charge,False,Standard,STANDARD S,DEFAULT,UK,,,0,0,EA,EA,EA,,,,,,,,,,0.00,0.00,0.00,,,,,0.000000,0.00,0.00,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,False,2110,False,,,,
"9,015",AA_NPD_MISC,NPD Misc Purchases,Active,False,,,V-**-**-***,Delivery Charges,,Charge,False,Standard,STANDARD S,DEFAULT,UK,,,0,0,EA,EA,EA,,,,,,,,,,0.00,0.00,0.00,,,,,0.000000,0.00,0.00,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,False,2110,False,,,,
"8,982",AA_NPD_OTHER_CH,Other (3rd party processes - cutting/printing/painting) - CH,Active,False,,,V-**-**-***,Delivery Charges,,Charge,False,Standard,STANDARD S,DEFAULT,UK,,,0,0,EA,EA,EA,,,,,,,,,,0.00,0.00,0.00,,,,,0.000000,0.00,0.00,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,False,2110,False,,,,
